,Team,year,Distance,Frequency,Win,ORtg
1,All Teams,2001,0-3 ft,0.273,0,0
2,All Teams,2001,3-10 ft,0.168,0,0
3,All Teams,2001,10-16 ft,0.158,0,0
4,All Teams,2001,Over 16 ft,0.232,0,0
5,All Teams,2001,3P,0.17,0,0
6,All Teams,2002,0-3 ft,0.287,0,0
7,All Teams,2002,3-10 ft,0.148,0,0
8,All Teams,2002,10-16 ft,0.153,0,0
9,All Teams,2002,Over 16 ft,0.23,0,0
10,All Teams,2002,3P,0.181,0,0
11,All Teams,2003,0-3 ft,0.286,0,0
12,All Teams,2003,3-10 ft,0.15,0,0
13,All Teams,2003,10-16 ft,0.146,0,0
14,All Teams,2003,Over 16 ft,0.236,0,0
15,All Teams,2003,3P,0.182,0,0
16,All Teams,2004,0-3 ft,0.297,0,0
17,All Teams,2004,3-10 ft,0.147,0,0
18,All Teams,2004,10-16 ft,0.141,0,0
19,All Teams,2004,Over 16 ft,0.229,0,0
20,All Teams,2004,3P,0.187,0,0
21,All Teams,2005,0-3 ft,0.304,0,0
22,All Teams,2005,3-10 ft,0.135,0,0
23,All Teams,2005,10-16 ft,0.129,0,0
24,All Teams,2005,Over 16 ft,0.236,0,0
25,All Teams,2005,3P,0.196,0,0
26,All Teams,2006,0-3 ft,0.309,0,0
27,All Teams,2006,3-10 ft,0.133,0,0
28,All Teams,2006,10-16 ft,0.119,0,0
29,All Teams,2006,Over 16 ft,0.236,0,0
30,All Teams,2006,3P,0.202,0,0
31,All Teams,2007,0-3 ft,0.314,0,0
32,All Teams,2007,3-10 ft,0.131,0,0
33,All Teams,2007,10-16 ft,0.113,0,0
34,All Teams,2007,Over 16 ft,0.229,0,0
35,All Teams,2007,3P,0.213,0,0
36,All Teams,2008,0-3 ft,0.308,0,0
37,All Teams,2008,3-10 ft,0.124,0,0
38,All Teams,2008,10-16 ft,0.111,0,0
39,All Teams,2008,Over 16 ft,0.235,0,0
40,All Teams,2008,3P,0.222,0,0
41,All Teams,2009,0-3 ft,0.314,0,0
42,All Teams,2009,3-10 ft,0.124,0,0
43,All Teams,2009,10-16 ft,0.111,0,0
44,All Teams,2009,Over 16 ft,0.227,0,0
45,All Teams,2009,3P,0.224,0,0
46,All Teams,2010,0-3 ft,0.32,0,0
47,All Teams,2010,3-10 ft,0.129,0,0
48,All Teams,2010,10-16 ft,0.11,0,0
49,All Teams,2010,Over 16 ft,0.218,0,0
50,All Teams,2010,3P,0.222,0,0
51,All Teams,2011,0-3 ft,0.276,0,0
52,All Teams,2011,3-10 ft,0.178,0,0
53,All Teams,2011,10-16 ft,0.11,0,0
54,All Teams,2011,Over 16 ft,0.214,0,0
55,All Teams,2011,3P,0.222,0,0
56,All Teams,2012,0-3 ft,0.287,0,0
57,All Teams,2012,3-10 ft,0.169,0,0
58,All Teams,2012,10-16 ft,0.11,0,0
59,All Teams,2012,Over 16 ft,0.208,0,0
60,All Teams,2012,3P,0.226,0,0
61,All Teams,2013,0-3 ft,0.293,0,0
62,All Teams,2013,3-10 ft,0.164,0,0
63,All Teams,2013,10-16 ft,0.107,0,0
64,All Teams,2013,Over 16 ft,0.193,0,0
65,All Teams,2013,3P,0.243,0,0
66,All Teams,2014,0-3 ft,0.286,0,0
67,All Teams,2014,3-10 ft,0.169,0,0
68,All Teams,2014,10-16 ft,0.105,0,0
69,All Teams,2014,Over 16 ft,0.18,0,0
70,All Teams,2014,3P,0.259,0,0
71,All Teams,2015,0-3 ft,0.288,0,0
72,All Teams,2015,3-10 ft,0.165,0,0
73,All Teams,2015,10-16 ft,0.103,0,0
74,All Teams,2015,Over 16 ft,0.175,0,0
75,All Teams,2015,3P,0.268,0,0
76,All Teams,2016,0-3 ft,0.293,0,0
77,All Teams,2016,3-10 ft,0.158,0,0
78,All Teams,2016,10-16 ft,0.103,0,0
79,All Teams,2016,Over 16 ft,0.162,0,0
80,All Teams,2016,3P,0.285,0,0
81,All Teams,2017,0-3 ft,0.29,0,0
82,All Teams,2017,3-10 ft,0.152,0,0
83,All Teams,2017,10-16 ft,0.099,0,0
84,All Teams,2017,Over 16 ft,0.142,0,0
85,All Teams,2017,3P,0.316,0,0
86,All Teams,2018,0-3 ft,0.281,0,0
87,All Teams,2018,3-10 ft,0.156,0,0
88,All Teams,2018,10-16 ft,0.106,0,0
89,All Teams,2018,Over 16 ft,0.12,0,0
90,All Teams,2018,3P,0.337,0,0
91,Atlanta Hawks,2001,0-3 ft,0.258,0.305,99.51
92,Atlanta Hawks,2001,3-10 ft,0.19,0.305,99.51
93,Atlanta Hawks,2001,10-16 ft,0.214,0.305,99.51
94,Atlanta Hawks,2001,Over 16 ft,0.198,0.305,99.51
95,Atlanta Hawks,2001,3P,0.14,0.305,99.51
96,Atlanta Hawks,2002,0-3 ft,0.328,0.402,102.72
97,Atlanta Hawks,2002,3-10 ft,0.153,0.402,102.72
98,Atlanta Hawks,2002,10-16 ft,0.146,0.402,102.72
99,Atlanta Hawks,2002,Over 16 ft,0.193,0.402,102.72
100,Atlanta Hawks,2002,3P,0.181,0.402,102.72
101,Atlanta Hawks,2003,0-3 ft,0.269,0.427,103.1
102,Atlanta Hawks,2003,3-10 ft,0.158,0.427,103.1
103,Atlanta Hawks,2003,10-16 ft,0.181,0.427,103.1
104,Atlanta Hawks,2003,Over 16 ft,0.214,0.427,103.1
105,Atlanta Hawks,2003,3P,0.177,0.427,103.1
106,Atlanta Hawks,2004,0-3 ft,0.303,0.341,101.91
107,Atlanta Hawks,2004,3-10 ft,0.148,0.341,101.91
108,Atlanta Hawks,2004,10-16 ft,0.153,0.341,101.91
109,Atlanta Hawks,2004,Over 16 ft,0.205,0.341,101.91
110,Atlanta Hawks,2004,3P,0.191,0.341,101.91
111,Atlanta Hawks,2005,0-3 ft,0.371,0.159,101.23
112,Atlanta Hawks,2005,3-10 ft,0.141,0.159,101.23
113,Atlanta Hawks,2005,10-16 ft,0.139,0.159,101.23
114,Atlanta Hawks,2005,Over 16 ft,0.204,0.159,101.23
115,Atlanta Hawks,2005,3P,0.146,0.159,101.23
116,Atlanta Hawks,2006,0-3 ft,0.342,0.317,107.2
117,Atlanta Hawks,2006,3-10 ft,0.132,0.317,107.2
118,Atlanta Hawks,2006,10-16 ft,0.118,0.317,107.2
119,Atlanta Hawks,2006,Over 16 ft,0.231,0.317,107.2
120,Atlanta Hawks,2006,3P,0.178,0.317,107.2
121,Atlanta Hawks,2007,0-3 ft,0.356,0.366,103.83
122,Atlanta Hawks,2007,3-10 ft,0.097,0.366,103.83
123,Atlanta Hawks,2007,10-16 ft,0.09,0.366,103.83
124,Atlanta Hawks,2007,Over 16 ft,0.294,0.366,103.83
125,Atlanta Hawks,2007,3P,0.163,0.366,103.83
126,Atlanta Hawks,2008,0-3 ft,0.339,0.451,107.6
127,Atlanta Hawks,2008,3-10 ft,0.14,0.451,107.6
128,Atlanta Hawks,2008,10-16 ft,0.096,0.451,107.6
